mitigation_id,CVE,tactic,mitre_tactic_id,mitre_tactic_description,mitigation_description
MIT-001,"CVE-2024-21338","Patch Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Apply the latest security patches provided by the vendor immediately. This closes the known vulnerability exploited by attackers; additionally implement network segmentation to isolate affected systems and prevent lateral movement."
MIT-002,"CVE-2024-21413","Input Validation","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Update to the latest version. This tactic involves sanitizing all user-supplied input to prevent path traversal characters (e.g. '..') from being processed which stops unauthorized access to the file system."
MIT-003,"CVE-2024-21410","Access Control","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Enforce the Principle of Least Privilege by implementing strict role-based access control policies. Regularly audit user permissions to ensure they only have access to the resources necessary for their roles."
MIT-004,"CVE-2024-21339","Application Hardening","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Disable unnecessary command-line access for web applications to reduce the attack surface. Use a Web Application Firewall (WAF) as a compensating control to filter malicious OS commands from user input."
MIT-005,"CVE-2024-21345","Secure Coding Practices","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Implement bounds checking on all memory operations to ensure data stays within its allocated buffer. Where possible use memory-safe programming languages (like Rust or Go) to eliminate this class of vulnerability."
MIT-006,"CVE-2024-21411","Application Hardening","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Utilize anti-CSRF tokens in all state-changing forms and requests. This ensures that requests are legitimate and originate from the user's session not from a malicious site."
MIT-007,"CVE-2024-21340","User Account Management","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Enforce multi-factor authentication (MFA) for all user accounts to add a layer of security beyond passwords. This ensures that even if credentials are stolen attackers cannot gain access. Disable default or weak credentials."
MIT-008,"CVE-2024-21412","Input Validation","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Validate and sanitize all input data on both client and server sides to prevent malicious data from being processed. Implement a strict Content Security Policy (CSP) to control which resources can be loaded by a web page."
MIT-009,"CVE-2024-21341","Secure Coding Practices","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Employ static (SAST) and dynamic (DAST) analysis tools during the development lifecycle to detect and remediate use-after-free vulnerabilities before deployment."
MIT-010,"CVE-2024-21346","Input Validation","TA0009","Collection: The adversary is trying to gather data of interest to their goal. This tactic represents techniques adversaries may use to gather information and the sources information is collected from.","Use parameterized queries or prepared statements for all database interactions. This separates the SQL command structure from the data making it impossible for an attacker to inject malicious SQL code."
MIT-011,"CVE-2024-21414","Output Encoding","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Encode all dynamic data output to the browser to prevent malicious scripts from being rendered. This known as context-aware encoding ensures that data is treated as text not executable code."
MIT-012,"CVE-2024-21347","Secure Coding Practices","TA0009","Collection: The adversary is trying to gather data of interest to their goal. This tactic represents techniques adversaries may use to gather information and the sources information is collected from.","Ensure all read operations are within the allocated memory bounds. Utilize compiler features like canaries and stack guards to detect buffer overflows and terminate the program before exploitation."
MIT-013,"CVE-2024-21415","Application Hardening","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Avoid deserializing data from untrusted sources. If necessary implement strict type checking during deserialization to ensure the data conforms to the expected structure preventing object injection attacks."
MIT-014,"CVE-2024-21348","Secure Coding Practices","TA0040","Impact: The adversary is trying to manipulate; interrupt; or destroy your systems and data. This tactic represents techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.","Programmatically check for null pointers before dereferencing to prevent crashes and potential exploitation. Use modern compilers that offer null pointer analysis to identify potential issues at compile time."
MIT-015,"CVE-2024-21416","Secure Coding Practices","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Use safe integer libraries that check for overflow and underflow conditions. This prevents attackers from manipulating integer values to cause unexpected behavior or security bypasses."
MIT-016,"CVE-2024-21349","Patch Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Apply vendor patches as soon as they are available to remediate the vulnerability. As a compensating control use Network Segmentation to isolate critical systems from external networks."
MIT-017,"CVE-2024-21417","Configuration Management","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Regularly update all systems and software to the latest patched versions using an automated patch management system. This ensures consistent security levels across the environment."
MIT-018,"CVE-2024-21350","Network Filtering","TA0011","Command and Control: The adversary is trying to communicate with compromised systems to control them. This tactic represents techniques that adversaries may use to communicate with systems under their control within a victim network.","Implement egress filtering on firewalls to block outbound connections to known malicious domains and C2 servers. This can prevent data exfiltration even if an initial compromise occurs."
MIT-019,"CVE-2024-21418","Endpoint Security","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Deploy Endpoint Detection and Response (EDR) solutions to monitor for suspicious command execution and process behavior. This provides visibility and response capabilities at the endpoint level."
MIT-020,"CVE-2024-21351","Secure Development Lifecycle","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Conduct thorough manual code reviews for security-critical components. Use Static Analysis Security Testing (SAST) tools to automatically scan code for common vulnerabilities."
MIT-021,"CVE-2024-21419","User Training","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Disable or restrict macros in Microsoft Office documents via Group Policy. This technical control removes the attack vector supplemented by training users to identify and report phishing attempts."
MIT-022,"CVE-2024-21352","User Account Management","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Implement strong password policies (complexity; history; length) and enforce MFA. A monitoring tactic should be used to detect and alert on unusual login activity such as impossible travel or multiple failed logins."
MIT-023,"CVE-2024-21420","Web Application Firewall (WAF)","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Use a WAF to inspect and filter HTTP traffic for known attack patterns such as SQL injection or XSS. This provides a protective shield in front of web applications."
MIT-024,"CVE-2024-21353","Access Control","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Restrict remote access to a whitelist of trusted IP addresses. This often enforced at the firewall ensures that only authorized networks can attempt to connect. Use a VPN for all administrative access."
MIT-025,"CVE-2024-21421","Network Intrusion Detection & Prevention","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Deploy network IDS/IPS to monitor traffic for malicious signatures and anomalous behavior. This allows for the detection and blocking of network-based attacks in real-time."
MIT-026,"CVE-2024-21354","Network Segmentation","TA0008","Lateral Movement: The adversary is trying to move through your environment. This tactic represents techniques that adversaries use to enter and control remote systems on a network.","Segment networks into smaller isolated zones (e.g. VLANs) to limit lateral movement for attackers. Monitor for unauthorized access to network shares between segments."
MIT-027,"CVE-2024-21422","Application Hardening","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Harden endpoints by following a security baseline which includes disabling unnecessary services and closing unused ports to reduce the system's attack surface."
MIT-028,"CVE-2024-21355","Endpoint Security","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Maintain up-to-date antivirus and anti-malware solutions with modern capabilities like behavioral analysis. This helps detect and block both known and unknown malware."
MIT-029,"CVE-2024-21423","Vulnerability Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Ensure all third-party libraries and dependencies are scanned and updated regularly using Software Composition Analysis (SCA) tools. This addresses supply chain risk."
MIT-030,"CVE-2024-21356","Logging and Monitoring","TA0007","Discovery: The adversary is trying to figure out your environment. This tactic represents techniques an adversary may use to gain knowledge about the system and internal network.","Implement a robust logging and monitoring solution to ingest and analyze logs from all critical systems. This is crucial for detecting anomalous activity that may indicate a compromise."
MIT-031,"CVE-2024-21424","Application Whitelisting","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Apply patches promptly. Use application whitelisting (or allowlisting) to prevent any unauthorized software from running which can block malware execution."
MIT-032,"CVE-2024-21357","Email Security","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Configure email gateways to scan for and block malicious attachments (e.g. by file type or signature) and links. This is a primary defense against phishing."
MIT-033,"CVE-2024-21425","Privileged Access Management (PAM)","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Use a bastion host or jump box for all administrative access to critical systems. This centralizes logs and controls privileged sessions."
MIT-034,"CVE-2024-21358","Access Control","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Implement the principle of least privilege for all user and service accounts ensuring they have only the minimum permissions necessary. This limits the impact of a compromised account."
MIT-035,"CVE-2024-21426","Vulnerability Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Regularly perform authenticated and unauthenticated vulnerability scans. Complement scans with annual penetration testing to discover complex or business logic-related vulnerabilities."
MIT-036,"CVE-2024-21359","Behavioral Analysis","TA0008","Lateral Movement: The adversary is trying to move through your environment. This tactic represents techniques that adversaries use to enter and control remote systems on a network.","Monitor financial transactions for unusual patterns using machine learning algorithms. This helps detect fraudulent activity that may indicate a system compromise."
MIT-037,"CVE-2024-21427","Deception Technology","TA0007","Discovery: The adversary is trying to figure out your environment. This tactic represents techniques an adversary may use to gain knowledge about the system and internal network.","Deploy honeypots and honeytokens to detect and lure attackers. This creates decoys that when accessed trigger high-fidelity alerts about malicious activity."
MIT-038,"CVE-2024-21360","Network Segmentation","TA0008","Lateral Movement: The adversary is trying to move through your environment. This tactic represents techniques that adversaries use to enter and control remote systems on a network.","Isolate industrial control systems (ICS) and OT networks from corporate IT networks using a demilitarized zone (DMZ). This protects critical infrastructure from IT-based threats."
MIT-039,"CVE-2024-21428","Application Whitelisting","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Use application whitelisting to strictly control which applications and scripts are allowed to run on servers and endpoints preventing malware execution."
MIT-040,"CVE-2024-21361","Data Backup and Recovery","TA0040","Impact: The adversary is trying to manipulate; interrupt; or destroy your systems and data. This tactic represents techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.","Maintain regular offline and immutable backups of critical data. Test data recovery procedures frequently to ensure business continuity in case of a ransomware attack."
MIT-041,"CVE-2024-21429","Physical Security","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Implement strong physical security controls for data centers and critical infrastructure including access control surveillance and environmental monitoring."
MIT-042,"CVE-2024-21362","Security Information and Event Management (SIEM)","TA0011","Command and Control: The adversary is trying to communicate with compromised systems to control them. This tactic represents techniques that adversaries may use to communicate with systems under their control within a victim network.","Deploy a SIEM system to aggregate and correlate log data from across the enterprise enabling centralized threat detection and incident response."
MIT-043,"CVE-2024-21430","Patch Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Apply the latest security patches provided by the vendor immediately. This tactic closes the known vulnerability exploited by attackers; additionally implement network segmentation to isolate affected systems and prevent lateral movement."
MIT-044,"CVE-2024-21363","Input Validation","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Update to the latest version. This tactic involves sanitizing all user-supplied input to prevent path traversal characters (e.g. '..') from being processed which stops unauthorized access to the file system."
MIT-045,"CVE-2024-21431","Access Control","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Enforce the Principle of Least Privilege by implementing strict role-based access control policies. Regularly audit user permissions to ensure they only have access to the resources necessary for their roles."
MIT-046,"CVE-2024-21364","Application Hardening","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Disable unnecessary command-line access for web applications to reduce the attack surface. Use a Web Application Firewall (WAF) as a compensating control to filter malicious OS commands from user input."
MIT-047,"CVE-2024-21432","Secure Coding Practices","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Implement bounds checking on all memory operations to ensure data stays within its allocated buffer. Where possible use memory-safe programming languages (like Rust or Go) to eliminate this class of vulnerability."
MIT-048,"CVE-2024-21365","Application Hardening","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Utilize anti-CSRF tokens in all state-changing forms and requests. This tactic ensures that requests are legitimate and originate from the user's session not from a malicious site."
MIT-049,"CVE-2024-21433","User Account Management","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Enforce multi-factor authentication (MFA) for all user accounts to add a layer of security beyond passwords. This tactic ensures that even if credentials are stolen attackers cannot gain access. Disable default or weak credentials."
MIT-050,"CVE-2024-21366","Input Validation","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Validate and sanitize all input data on both client and server sides to prevent malicious data from being processed. Implement a strict Content Security Policy (CSP) to control which resources can be loaded by a web page."
MIT-051,"CVE-2024-21434","Secure Coding Practices","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Employ static (SAST) and dynamic (DAST) analysis tools during the development lifecycle to detect and remediate use-after-free vulnerabilities before deployment."
MIT-052,"CVE-2024-21367","Input Validation","TA0009","Collection: The adversary is trying to gather data of interest to their goal. This tactic represents techniques adversaries may use to gather information and the sources information is collected from.","Use parameterized queries or prepared statements for all database interactions. This tactic separates the SQL command structure from the data making it impossible for an attacker to inject malicious SQL code."
MIT-053,"CVE-2024-21435","Output Encoding","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Encode all dynamic data output to the browser to prevent malicious scripts from being rendered. This known as context-aware encoding ensures that data is treated as text not executable code."
MIT-054,"CVE-2024-21368","Secure Coding Practices","TA0009","Collection: The adversary is trying to gather data of interest to their goal. This tactic represents techniques adversaries may use to gather information and the sources information is collected from.","Ensure all read operations are within the allocated memory bounds. Utilize compiler features like canaries and stack guards to detect buffer overflows and terminate the program before exploitation."
MIT-055,"CVE-2024-21436","Application Hardening","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Avoid deserializing data from untrusted sources. If necessary implement strict type checking during deserialization to ensure the data conforms to the expected structure preventing object injection attacks."
MIT-056,"CVE-2024-21369","Secure Coding Practices","TA0040","Impact: The adversary is trying to manipulate; interrupt; or destroy your systems and data. This tactic represents techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.","Programmatically check for null pointers before dereferencing to prevent crashes and potential exploitation. Use modern compilers that offer null pointer analysis to identify potential issues at compile time."
MIT-057,"CVE-2024-21437","Secure Coding Practices","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Use safe integer libraries that check for overflow and underflow conditions. This prevents attackers from manipulating integer values to cause unexpected behavior or security bypasses."
MIT-058,"CVE-2024-21370","Patch Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Apply vendor patches as soon as they are available to remediate the vulnerability. As a compensating control use Network Segmentation to isolate critical systems from external networks."
MIT-059,"CVE-2024-21438","Configuration Management","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Regularly update all systems and software to the latest patched versions using an automated patch management system. This ensures consistent security levels across the environment."
MIT-060,"CVE-2024-21371","Network Filtering","TA0011","Command and Control: The adversary is trying to communicate with compromised systems to control them. This tactic represents techniques that adversaries may use to communicate with systems under their control within a victim network.","Implement egress filtering on firewalls to block outbound connections to known malicious domains and C2 servers. This can prevent data exfiltration even if an initial compromise occurs."
MIT-061,"CVE-2024-21439","Endpoint Security","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Deploy Endpoint Detection and Response (EDR) solutions to monitor for suspicious command execution and process behavior. This provides visibility and response capabilities at the endpoint level."
MIT-062,"CVE-2024-21372","Secure Development Lifecycle","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Conduct thorough manual code reviews for security-critical components. Use Static Analysis Security Testing (SAST) tools to automatically scan code for common vulnerabilities."
MIT-063,"CVE-2024-21440","User Training","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Disable or restrict macros in Microsoft Office documents via Group Policy. This technical control removes the attack vector supplemented by training users to identify and report phishing attempts."
MIT-064,"CVE-2024-21373","User Account Management","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Implement strong password policies (complexity; history; length) and enforce MFA. A monitoring tactic should be used to detect and alert on unusual login activity such as impossible travel or multiple failed logins."
MIT-065,"CVE-2024-21441","Web Application Firewall (WAF)","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Use a WAF to inspect and filter HTTP traffic for known attack patterns such as SQL injection or XSS. This provides a protective shield in front of web applications."
