mitigation_id,CVE,tactic,mitre_tactic_id,mitre_tactic_description,mitigation_description
MIT-133,"CVE-2024-21475","User Account Management","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Enforce multi-factor authentication (MFA) for all user accounts to add a layer of security beyond passwords. This tactic ensures that even if credentials are stolen attackers cannot gain access. Disable default or weak credentials."
MIT-134,"CVE-2024-21408","Input Validation","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Validate and sanitize all input data on both client and server sides to prevent malicious data from being processed. Implement a strict Content Security Policy (CSP) to control which resources can be loaded by a web page."
MIT-135,"CVE-2024-21476","Secure Coding Practices","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Employ static (SAST) and dynamic (DAST) analysis tools during the development lifecycle to detect and remediate use-after-free vulnerabilities before deployment."
MIT-136,"CVE-2024-21409","Input Validation","TA0009","Collection: The adversary is trying to gather data of interest to their goal. This tactic represents techniques adversaries may use to gather information and the sources information is collected from.","Use parameterized queries or prepared statements for all database interactions. This tactic separates the SQL command structure from the data making it impossible for an attacker to inject malicious SQL code."
MIT-137,"CVE-2024-21477","Output Encoding","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Encode all dynamic data output to the browser to prevent malicious scripts from being rendered. This known as context-aware encoding ensures that data is treated as text not executable code."
MIT-138,"CVE-2024-21410","Secure Coding Practices","TA0009","Collection: The adversary is trying to gather data of interest to their goal. This tactic represents techniques adversaries may use to gather information and the sources information is collected from.","Ensure all read operations are within the allocated memory bounds. Utilize compiler features like canaries and stack guards to detect buffer overflows and terminate the program before exploitation."
MIT-139,"CVE-2024-21478","Application Hardening","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Avoid deserializing data from untrusted sources. If necessary implement strict type checking during deserialization to ensure the data conforms to the expected structure preventing object injection attacks."
MIT-140,"CVE-2024-21412","Secure Coding Practices","TA0040","Impact: The adversary is trying to manipulate; interrupt; or destroy your systems and data. This tactic represents techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.","Programmatically check for null pointers before dereferencing to prevent crashes and potential exploitation. Use modern compilers that offer null pointer analysis to identify potential issues at compile time."
MIT-141,"CVE-2024-21479","Secure Coding Practices","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Use safe integer libraries that check for overflow and underflow conditions. This prevents attackers from manipulating integer values to cause unexpected behavior or security bypasses."
MIT-142,"CVE-2024-21413","Patch Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Apply vendor patches as soon as they are available to remediate the vulnerability. As a compensating control use Network Segmentation to isolate critical systems from external networks."
MIT-143,"CVE-2024-21480","Configuration Management","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Regularly update all systems and software to the latest patched versions using an automated patch management system. This ensures consistent security levels across the environment."
MIT-144,"CVE-2024-21414","Network Filtering","TA0011","Command and Control: The adversary is trying to communicate with compromised systems to control them. This tactic represents techniques that adversaries may use to communicate with systems under their control within a victim network.","Implement egress filtering on firewalls to block outbound connections to known malicious domains and C2 servers. This can prevent data exfiltration even if an initial compromise occurs."
MIT-145,"CVE-2024-21481","Endpoint Security","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Deploy Endpoint Detection and Response (EDR) solutions to monitor for suspicious command execution and process behavior. This provides visibility and response capabilities at the endpoint level."
MIT-146,"CVE-2024-21415","Secure Development Lifecycle","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Conduct thorough manual code reviews for security-critical components. Use Static Analysis Security Testing (SAST) tools to automatically scan code for common vulnerabilities."
MIT-147,"CVE-2024-21482","User Training","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Disable or restrict macros in Microsoft Office documents via Group Policy. This technical control removes the attack vector supplemented by training users to identify and report phishing attempts."
MIT-148,"CVE-2024-21416","User Account Management","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Implement strong password policies (complexity; history; length) and enforce MFA. A monitoring tactic should be used to detect and alert on unusual login activity such as impossible travel or multiple failed logins."
MIT-149,"CVE-2024-21483","Web Application Firewall (WAF)","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Use a WAF to inspect and filter HTTP traffic for known attack patterns such as SQL injection or XSS. This provides a protective shield in front of web applications."
MIT-150,"CVE-2024-21417","Access Control","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Restrict remote access to a whitelist of trusted IP addresses. This often enforced at the firewall ensures that only authorized networks can attempt to connect. Use a VPN for all administrative access."
MIT-151,"CVE-2024-21484","Network Intrusion Detection & Prevention","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Deploy network IDS/IPS to monitor traffic for malicious signatures and anomalous behavior. This allows for the detection and blocking of network-based attacks in real-time."
MIT-152,"CVE-2024-21418","Network Segmentation","TA0008","Lateral Movement: The adversary is trying to move through your environment. This tactic represents techniques that adversaries use to enter and control remote systems on a network.","Segment networks into smaller isolated zones (e.g. VLANs) to limit lateral movement for attackers. Monitor for unauthorized access to network shares between segments."
MIT-153,"CVE-2024-21485","Application Hardening","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Harden endpoints by following a security baseline which includes disabling unnecessary services and closing unused ports to reduce the system's attack surface."
MIT-154,"CVE-2024-21419","Endpoint Security","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Maintain up-to-date antivirus and anti-malware solutions with modern capabilities like behavioral analysis. This helps detect and block both known and unknown malware."
MIT-155,"CVE-2024-21486","Vulnerability Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Ensure all third-party libraries and dependencies are scanned and updated regularly using Software Composition Analysis (SCA) tools. This addresses supply chain risk."
MIT-156,"CVE-2024-21420","Logging and Monitoring","TA0007","Discovery: The adversary is trying to figure out your environment. This tactic represents techniques an adversary may use to gain knowledge about the system and internal network.","Implement a robust logging and monitoring solution to ingest and analyze logs from all critical systems. This is crucial for detecting anomalous activity that may indicate a compromise."
MIT-157,"CVE-2024-21487","Application Whitelisting","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Apply patches promptly. Use application whitelisting (or allowlisting) to prevent any unauthorized software from running which can block malware execution."
MIT-158,"CVE-2024-21421","Email Security","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Configure email gateways to scan for and block malicious attachments (e.g. by file type or signature) and links. This is a primary defense against phishing."
MIT-159,"CVE-2024-21488","Privileged Access Management (PAM)","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Use a bastion host or jump box for all administrative access to critical systems. This centralizes logs and controls privileged sessions."
MIT-160,"CVE-2024-21422","Access Control","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Implement the principle of least privilege for all user and service accounts ensuring they have only the minimum permissions necessary. This limits the impact of a compromised account."
MIT-161,"CVE-2024-21489","Vulnerability Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Regularly perform authenticated and unauthenticated vulnerability scans. Complement scans with annual penetration testing to discover complex or business logic-related vulnerabilities."
MIT-162,"CVE-2024-21423","Behavioral Analysis","TA0008","Lateral Movement: The adversary is trying to move through your environment. This tactic represents techniques that adversaries use to enter and control remote systems on a network.","Monitor financial transactions for unusual patterns using machine learning algorithms. This helps detect fraudulent activity that may indicate a system compromise."
MIT-163,"CVE-2024-21490","Deception Technology","TA0007","Discovery: The adversary is trying to figure out your environment. This tactic represents techniques an adversary may use to gain knowledge about the system and internal network.","Deploy honeypots and honeytokens to detect and lure attackers. This creates decoys that when accessed trigger high-fidelity alerts about malicious activity."
MIT-164,"CVE-2024-21424","Network Segmentation","TA0008","Lateral Movement: The adversary is trying to move through your environment. This tactic represents techniques that adversaries use to enter and control remote systems on a network.","Isolate industrial control systems (ICS) and OT networks from corporate IT networks using a demilitarized zone (DMZ). This protects critical infrastructure from IT-based threats."
MIT-165,"CVE-2024-21491","Application Whitelisting","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Use application whitelisting to strictly control which applications and scripts are allowed to run on servers and endpoints preventing malware execution."
MIT-166,"CVE-2024-21425","Data Backup and Recovery","TA0040","Impact: The adversary is trying to manipulate; interrupt; or destroy your systems and data. This tactic represents techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.","Maintain regular offline and immutable backups of critical data. Test data recovery procedures frequently to ensure business continuity in case of a ransomware attack."
MIT-167,"CVE-2024-21492","Physical Security","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Implement strong physical security controls for data centers and critical infrastructure including access control surveillance and environmental monitoring."
MIT-168,"CVE-2024-21426","Security Information and Event Management (SIEM)","TA0011","Command and Control: The adversary is trying to communicate with compromised systems to control them. This tactic represents techniques that adversaries may use to communicate with systems under their control within a victim network.","Deploy a SIEM system to aggregate and correlate log data from across the enterprise enabling centralized threat detection and incident response."
MIT-169,"CVE-2024-21493","Patch Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Apply the latest security patches provided by the vendor immediately. This tactic closes the known vulnerability exploited by attackers; additionally implement network segmentation to isolate affected systems and prevent lateral movement."
MIT-170,"CVE-2024-21427","Input Validation","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Update to the latest version. This tactic involves sanitizing all user-supplied input to prevent path traversal characters (e.g. '..') from being processed which stops unauthorized access to the file system."
MIT-171,"CVE-2024-21494","Access Control","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Enforce the Principle of Least Privilege by implementing strict role-based access control policies. Regularly audit user permissions to ensure they only have access to the resources necessary for their roles."
MIT-172,"CVE-2024-21428","Application Hardening","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Disable unnecessary command-line access for web applications to reduce the attack surface. Use a Web Application Firewall (WAF) as a compensating control to filter malicious OS commands from user input."
MIT-173,"CVE-2024-21495","Secure Coding Practices","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Implement bounds checking on all memory operations to ensure data stays within its allocated buffer. Where possible use memory-safe programming languages (like Rust or Go) to eliminate this class of vulnerability."
MIT-174,"CVE-2024-21429","Application Hardening","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Utilize anti-CSRF tokens in all state-changing forms and requests. This tactic ensures that requests are legitimate and originate from the user's session not from a malicious site."
MIT-175,"CVE-2024-21496","User Account Management","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Enforce multi-factor authentication (MFA) for all user accounts to add a layer of security beyond passwords. This tactic ensures that even if credentials are stolen attackers cannot gain access. Disable default or weak credentials."
MIT-176,"CVE-2024-21430","Input Validation","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Validate and sanitize all input data on both client and server sides to prevent malicious data from being processed. Implement a strict Content Security Policy (CSP) to control which resources can be loaded by a web page."
MIT-177,"CVE-2024-21497","Secure Coding Practices","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Employ static (SAST) and dynamic (DAST) analysis tools during the development lifecycle to detect and remediate use-after-free vulnerabilities before deployment."
MIT-178,"CVE-2024-21431","Input Validation","TA0009","Collection: The adversary is trying to gather data of interest to their goal. This tactic represents techniques adversaries may use to gather information and the sources information is collected from.","Use parameterized queries or prepared statements for all database interactions. This tactic separates the SQL command structure from the data making it impossible for an attacker to inject malicious SQL code."
MIT-179,"CVE-2024-21498","Output Encoding","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Encode all dynamic data output to the browser to prevent malicious scripts from being rendered. This known as context-aware encoding ensures that data is treated as text not executable code."
MIT-180,"CVE-2024-21432","Secure Coding Practices","TA0009","Collection: The adversary is trying to gather data of interest to their goal. This tactic represents techniques adversaries may use to gather information and the sources information is collected from.","Ensure all read operations are within the allocated memory bounds. Utilize compiler features like canaries and stack guards to detect buffer overflows and terminate the program before exploitation."
MIT-181,"CVE-2024-21499","Application Hardening","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Avoid deserializing data from untrusted sources. If necessary implement strict type checking during deserialization to ensure the data conforms to the expected structure preventing object injection attacks."
MIT-182,"CVE-2024-21433","Secure Coding Practices","TA0040","Impact: The adversary is trying to manipulate; interrupt; or destroy your systems and data. This tactic represents techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.","Programmatically check for null pointers before dereferencing to prevent crashes and potential exploitation. Use modern compilers that offer null pointer analysis to identify potential issues at compile time."
MIT-183,"CVE-2024-21500","Secure Coding Practices","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Use safe integer libraries that check for overflow and underflow conditions. This prevents attackers from manipulating integer values to cause unexpected behavior or security bypasses."
MIT-184,"CVE-2024-21434","Patch Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Apply vendor patches as soon as they are available to remediate the vulnerability. As a compensating control use Network Segmentation to isolate critical systems from external networks."
MIT-185,"CVE-2024-21501","Configuration Management","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Regularly update all systems and software to the latest patched versions using an automated patch management system. This ensures consistent security levels across the environment."
MIT-186,"CVE-2024-21435","Network Filtering","TA0011","Command and Control: The adversary is trying to communicate with compromised systems to control them. This tactic represents techniques that adversaries may use to communicate with systems under their control within a victim network.","Implement egress filtering on firewalls to block outbound connections to known malicious domains and C2 servers. This can prevent data exfiltration even if an initial compromise occurs."
MIT-187,"CVE-2024-21502","Endpoint Security","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Deploy Endpoint Detection and Response (EDR) solutions to monitor for suspicious command execution and process behavior. This provides visibility and response capabilities at the endpoint level."
MIT-188,"CVE-2024-21436","Secure Development Lifecycle","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Conduct thorough manual code reviews for security-critical components. Use Static Analysis Security Testing (SAST) tools to automatically scan code for common vulnerabilities."
MIT-189,"CVE-2024-21503","User Training","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Disable or restrict macros in Microsoft Office documents via Group Policy. This technical control removes the attack vector supplemented by training users to identify and report phishing attempts."
MIT-190,"CVE-2024-21437","User Account Management","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Implement strong password policies (complexity; history; length) and enforce MFA. A monitoring tactic should be used to detect and alert on unusual login activity such as impossible travel or multiple failed logins."
MIT-191,"CVE-2024-21504","Web Application Firewall (WAF)","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an ininitial foothold.","Use a WAF to inspect and filter HTTP traffic for known attack patterns such as SQL injection or XSS. This provides a protective shield in front of web applications."
MIT-192,"CVE-2024-21438","Access Control","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Restrict remote access to a whitelist of trusted IP addresses. This often enforced at the firewall ensures that only authorized networks can attempt to connect. Use a VPN for all administrative access."
MIT-193,"CVE-2024-21505","Network Intrusion Detection & Prevention","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Deploy network IDS/IPS to monitor traffic for malicious signatures and anomalous behavior. This allows for the detection and blocking of network-based attacks in real-time."
MIT-194,"CVE-2024-21439","Network Segmentation","TA0008","Lateral Movement: The adversary is trying to move through your environment. This tactic represents techniques that adversaries use to enter and control remote systems on a network.","Segment networks into smaller isolated zones (e.g. VLANs) to limit lateral movement for attackers. Monitor for unauthorized access to network shares between segments."
MIT-195,"CVE-2024-21506","Application Hardening","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Harden endpoints by following a security baseline which includes disabling unnecessary services and closing unused ports to reduce the system's attack surface."
MIT-196,"CVE-2024-21440","Endpoint Security","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Maintain up-to-date antivirus and anti-malware solutions with modern capabilities like behavioral analysis. This helps detect and block both known and unknown malware."
MIT-197,"CVE-2024-21507","Vulnerability Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Ensure all third-party libraries and dependencies are scanned and updated regularly using Software Composition Analysis (SCA) tools. This addresses supply chain risk."
MIT-198,"CVE-2024-21441","Logging and Monitoring","TA0007","Discovery: The adversary is trying to figure out your environment. This tactic represents techniques an adversary may use to gain knowledge about the system and internal network.","Implement a robust logging and monitoring solution to ingest and analyze logs from all critical systems. This is crucial for detecting anomalous activity that may indicate a compromise."
MIT-199,"CVE-2024-21508","Application Whitelisting","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Apply patches promptly. Use application whitelisting (or allowlisting) to prevent any unauthorized software from running which can block malware execution."
MIT-200,"CVE-2024-21442","Email Security","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Configure email gateways to scan for and block malicious attachments (e.g. by file type or signature) and links. This is a primary defense against phishing."
