patch_id,CVE,description
PATCH-2201,"CVE-2024-21338","Security Update for Windows Server 2022 (KB5034129): Addresses remote code execution vulnerability."
PATCH-2202,"CVE-2024-21413","Security Update for macOS Sonoma 14.5: Fixes a kernel privilege escalation issue."
PATCH-2203,"CVE-2024-21410","USN-6502-1: Ubuntu 22.04 LTS security update for OpenSSH server vulnerability."
PATCH-2204,"CVE-2024-21339","RHSA-2024:1321: Red Hat Enterprise Linux 9 security update for sudo."
PATCH-2205,"CVE-2024-21345","Security Update for Windows Server 2019 (KB5034123): Mitigates a denial of service vulnerability in Hyper-V."
PATCH-2206,"CVE-2024-21411","DSA-5621-1: Debian 12 security update for the Linux kernel."
PATCH-2207,"CVE-2024-21340","Security Update for Windows Server 2022 (KB5034441): Secure Boot patch."
PATCH-2208,"CVE-2024-21412","CESA-2024:0555: CentOS Stream 9 security update for bind."
PATCH-2209,"CVE-2024-21341","USN-6505-1: Ubuntu 20.04 LTS security update for the Apache HTTP Server."
PATCH-2210,"CVE-2024-21346","Security Update for macOS Ventura 13.6: Addresses a vulnerability in WebKit."
PATCH-2211,"CVE-2024-21414","RHSA-2024:1325: Red Hat Enterprise Linux 8 patch for kernel vulnerabilities."
PATCH-2212,"CVE-2024-21347","Security Update for Windows Server 2019 (KB5034123): Addresses LSA spoofing vulnerability."
PATCH-2213,"CVE-2024-21415","USN-6508-1: Ubuntu 22.04 LTS update for glibc to fix multiple vulnerabilities."
PATCH-2214,"CVE-2024-21348","Security Update for Windows Server 2022 (KB5034129): Monthly security quality rollup."
PATCH-2215,"CVE-2024-21416","Security Update for macOS Sonoma 14.6: Patches vulnerabilities in ImageIO."
PATCH-2216,"CVE-2024-21349","DSA-5623-1: Debian 12 security update for Firefox ESR."
PATCH-2217,"CVE-2024-21417","RHSA-2024:1330: Red Hat Enterprise Linux 9 security update for openssl."
PATCH-2218,"CVE-2024-21350","Security Update for Windows Server 2019 (KB5034123): Cumulative update."
PATCH-2219,"CVE-2024-21418","USN-6510-1: Ubuntu 20.04 LTS security update for systemd."
PATCH-2220,"CVE-2024-21351","CESA-2024:0560: CentOS Stream 9 update for the kernel-rt source tree."
PATCH-2221,"CVE-2024-21419","Security Update for macOS Monterey 12.7: Addresses multiple vulnerabilities."
PATCH-2222,"CVE-2024-21352","Security Update for Windows Server 2022 (KB5034129): Fix for Kerberos security feature bypass."
PATCH-2223,"CVE-2024-21420","RHSA-2024:1333: Red Hat Enterprise Linux 8 security update for python3.9."
PATCH-2224,"CVE-2024-21353","USN-6512-1: Ubuntu 22.04 LTS security update for curl."
PATCH-2225,"CVE-2024-21421","DSA-5625-1: Debian 12 security update for mariadb-10.11."
PATCH-2226,"CVE-2024-21354","Security Update for Windows Server 2019 (KB5034123): .NET Framework security and quality rollup."
PATCH-2227,"CVE-2024-21422","Security Update for macOS Sonoma 14.7: Command-line tools update."
PATCH-2228,"CVE-2024-21355","CESA-2024:0565: CentOS Stream 9 security update for grub2."
PATCH-2229,"CVE-2024-21423","RHSA-2024:1340: Red Hat Enterprise Linux 9 security update for nginx."
PATCH-2230,"CVE-2024-21356","USN-6515-1: Ubuntu 20.04 LTS kernel livepatch update."
PATCH-2231,"CVE-2024-21424","Security Update for Windows Server 2022 (KB5034129): Cumulative update addressing multiple CVEs."
PATCH-2232,"CVE-2024-21357","Security Update for macOS Ventura 13.7: Safari browser update."
PATCH-2233,"CVE-2024-21425","DSA-5628-1: Debian 12 security update for openjdk-17."
PATCH-2234,"CVE-2024-21358","RHSA-2024:1345: Red Hat Enterprise Linux 8 security update for httpd."
PATCH-2235,"CVE-2024-21426","Security Update for Windows Server 2019 (KB5034123): Fix for Windows SmartScreen security feature bypass."
PATCH-2236,"CVE-2024-21359","CESA-2024:0570: CentOS Stream 9 update for pacemaker."
PATCH-2237,"CVE-2024-21427","USN-6518-1: Ubuntu 22.04 LTS security update for PostgreSQL."
PATCH-2238,"CVE-2024-21360","Security Update for macOS Sonoma 14.8: Core services security patch."
PATCH-2239,"CVE-2024-21428","Security Update for Windows Server 2022 (KB5034129): Addresses vulnerability in TCP/IP."
PATCH-2240,"CVE-2024-21361","RHSA-2024:1350: Red Hat Enterprise Linux 9 security update for php."
PATCH-2241,"CVE-2024-21429","DSA-5630-1: Debian 12 security update for the Linux kernel."
PATCH-2242,"CVE-2024-21362","USN-6520-1: Ubuntu 20.04 LTS update for OpenSSL."
PATCH-2243,"CVE-2024-21430","Security Update for Windows Server 2019 (KB5034123): Windows Kernel elevation of privilege fix."
PATCH-2244,"CVE-2024-21363","Security Update for macOS Monterey 12.8: Addresses multiple CVEs."
PATCH-2245,"CVE-2024-21431","CESA-2024:0575: CentOS Stream 9 security update for samba."
PATCH-2246,"CVE-2024-21364","RHSA-2024:1355: Red Hat Enterprise Linux 8 update for the container-tools module."
PATCH-2247,"CVE-2024-21432","Security Update for Windows Server 2022 (KB5034129): Fixes vulnerability in SharePoint Server."
PATCH-2248,"CVE-2024-21365","USN-6522-1: Ubuntu 22.04 LTS security update for bind9."
PATCH-2249,"CVE-2024-21433","Security Update for macOS Sonoma 14.9: Addresses an out-of-bounds write issue."
PATCH-2250,"CVE-2024-21366","DSA-5633-1: Debian 12 security update for chromium."
PATCH-2251,"CVE-2024-21434","RHSA-2024:1360: Red Hat Enterprise Linux 9 security update for git."
PATCH-2252,"CVE-2024-21367","Security Update for Windows Server 2019 (KB5034123): Mitigates remote code execution in Remote Desktop Client."
PATCH-2253,"CVE-2024-21435","CESA-2024:0580: CentOS Stream 9 security update for freerdp."
PATCH-2254,"CVE-2024-21368","USN-6525-1: Ubuntu 20.04 LTS security update for Docker."
PATCH-2255,"CVE-2024-21436","Security Update for macOS Ventura 13.8: Logic Pro update with security fixes."
PATCH-2256,"CVE-2024-21369","Security Update for Windows Server 2022 (KB5034129): Patch for Windows Installer elevation of privilege."
PATCH-2257,"CVE-2024-21437","RHSA-2024:1365: Red Hat Enterprise Linux 8 security update for the kernel."
PATCH-2258,"CVE-2024-21370","DSA-5635-1: Debian 12 security update for ghostscript."
PATCH-2259,"CVE-2024-21438","USN-6528-1: Ubuntu 22.04 LTS security update for the Linux kernel."
PATCH-2260,"CVE-2024-21371","Security Update for macOS Sonoma 15.0: Developer Beta security fixes."
PATCH-2261,"CVE-2024-21439","Security Update for Windows Server 2019 (KB5034123): Cumulative security update."
PATCH-2262,"CVE-2024-21372","CESA-2024:0585: CentOS Stream 9 security update for qemu-kvm."
PATCH-2263,"CVE-2024-21440","RHSA-2024:1370: Red Hat Enterprise Linux 9 security update for go-toolset."
PATCH-2264,"CVE-2024-21373","USN-6530-1: Ubuntu 20.04 LTS security update for Nginx."
PATCH-2265,"CVE-2024-21441","DSA-5638-1: Debian 12 security update for nodejs."
PATCH-2266,"CVE-2024-21374","Security Update for Windows Server 2022 (KB5034129): Addresses vulnerability in HTTP.sys."
PATCH-2267,"CVE-2024-21442","Security Update for macOS Monterey 12.9: Final security patch for this version."
PATCH-2268,"CVE-2024-21375","CESA-2024:0590: CentOS Stream 9 security update for thunderbird."
PATCH-2269,"CVE-2024-21443","RHSA-2024:1375: Red Hat Enterprise Linux 8 update for podman."
PATCH-2270,"CVE-2024-21376","USN-6533-1: Ubuntu 22.04 LTS kernel livepatch update."
PATCH-2271,"CVE-2024-21444","Security Update for Windows Server 2019 (KB5034123): Monthly Rollup."
PATCH-2272,"CVE-2024-21377","Security Update for macOS Sonoma 15.1: Addresses multiple kernel vulnerabilities."
PATCH-2273,"CVE-2024-21445","DSA-5640-1: Debian 12 security update for sudo."
PATCH-2274,"CVE-2024-21378","RHSA-2024:1380: Red Hat Enterprise Linux 9 security update for cockpit."
PATCH-2275,"CVE-2024-21446","Security Update for Windows Server 2022 (KB5034129): Secure Channel security feature bypass fix."
PATCH-2276,"CVE-2024-21379","CESA-2024:0595: CentOS Stream 9 security update for the Linux kernel."
PATCH-2277,"CVE-2024-21447","USN-6535-1: Ubuntu 20.04 LTS security update for OpenJDK 11."
PATCH-2278,"CVE-2024-21380","Security Update for macOS Ventura 13.9: Final security patch."
PATCH-2279,"CVE-2024-21448","Security Update for Windows Server 2019 (KB5034123): Fix for vulnerability in the ODBC Driver."
PATCH-2280,"CVE-2024-21381","RHSA-2024:1385: Red Hat Enterprise Linux 8 security update for vim."
PATCH-2281,"CVE-2024-21449","DSA-5642-1: Debian 12 security update for systemd."
PATCH-2282,"CVE-2024-21382","USN-6538-1: Ubuntu 22.04 LTS security update for the Linux kernel (OEM)."
PATCH-2283,"CVE-2024-21450","Security Update for Windows Server 2022 (KB5034129): Cumulative Update for .NET Framework."
PATCH-2284,"CVE-2024-21383","Security Update for macOS Sonoma 15.2: Addresses vulnerability in Screen Time."
PATCH-2285,"CVE-2024-21451","CESA-2024:0600: CentOS Stream 9 security update for OpenEXR."
PATCH-2286,"CVE-2024-21384","RHSA-2024:1390: Red Hat Enterprise Linux 9 security update for openssh."
PATCH-2287,"CVE-2024-21452","USN-6540-1: Ubuntu 20.04 LTS security update for the Linux kernel."
PATCH-2288,"CVE-2024-21385","DSA-5645-1: Debian 12 security update for file."
PATCH-2289,"CVE-2024-21453","Security Update for Windows Server 2019 (KB5034123): Patch for Windows CryptoAPI vulnerability."
PATCH-2290,"CVE-2024-21386","Security Update for macOS Monterey 12.10: Final planned update."
PATCH-2291,"CVE-2024-21454","CESA-2024:0605: CentOS Stream 9 update for libvirt."
PATCH-2292,"CVE-2024-21387","RHSA-2024:1395: Red Hat Enterprise Linux 8 update for buildah."
PATCH-2293,"CVE-2024-21455","USN-6543-1: Ubuntu 22.04 LTS security update for AppArmor."
PATCH-2294,"CVE-2024-21388","DSA-5648-1: Debian 12 security update for GIMP."
PATCH-2295,"CVE-2024-21456","Security Update for Windows Server 2022 (KB5034129): Mitigates elevation of privilege in Win32k."
PATCH-2296,"CVE-2024-21389","Security Update for macOS Sonoma 15.3: CoreCrypto security fixes."
PATCH-2297,"CVE-2024-21457","CESA-2024:0610: CentOS Stream 9 security update for firefox."
PATCH-2298,"CVE-2024-21390","RHSA-2024:1400: Red Hat Enterprise Linux 9 update for the kernel."
PATCH-2299,"CVE-2024-21458","USN-6545-1: Ubuntu 20.04 LTS kernel livepatch update."
PATCH-2300,"CVE-2024-21391","Security Update for Windows Server 2019 (KB5034123): Addresses vulnerability in Print Spooler."
PATCH-2301,"CVE-2024-29051","Security Update for Windows Server 2022 (KB5035857): Cumulative Update."
PATCH-2302,"CVE-2024-28841","RHSA-2024:1501: Red Hat Enterprise Linux 9 kernel security update."
PATCH-2303,"CVE-2024-26159","USN-6621-1: Ubuntu 22.04 LTS OpenJDK vulnerability patch."
PATCH-2304,"CVE-2024-28753","Security Update for macOS Sonoma 14.9.1: Fixes an out-of-bounds write issue."
PATCH-2305,"CVE-2024-23491","DSA-5650-1: Debian 12 update for curl."
PATCH-2306,"CVE-2024-29052","Security Update for Windows Server 2019 (KB5035849): Monthly Rollup."
PATCH-2307,"CVE-2024-25712","CESA-2024:0832: CentOS Stream 9 update for httpd."
PATCH-2308,"CVE-2024-26581","USN-6630-1: Ubuntu 20.04 LTS Linux kernel security update."
PATCH-2309,"CVE-2024-29053","Security Update for macOS Ventura 13.8.1: WebKit security patch."
PATCH-2310,"CVE-2024-28181","RHSA-2024:1520: RHEL 8 security update for GNOME Shell."
PATCH-2311,"CVE-2024-29054","Security Update for Windows Server 2022 (KB5035857): .NET Framework Update."
PATCH-2312,"CVE-2024-24576","DSA-5652-1: Debian 12 security update for Python 3.11."
PATCH-2313,"CVE-2024-29055","USN-6641-1: Ubuntu 22.04 LTS update for glibc."
PATCH-2314,"CVE-2024-28182","Security Update for macOS Monterey 12.11: Addresses kernel vulnerabilities."
PATCH-2315,"CVE-2024-29056","RHSA-2024:1535: RHEL 9 security update for samba."
PATCH-2316,"CVE-2024-29057","Security Update for Windows Server 2019 (KB5035849): Hyper-V security update."
PATCH-2317,"CVE-2024-26597","CESA-2024:0850: CentOS Stream 9 kernel update."
PATCH-2318,"CVE-2024-29058","USN-6645-1: Ubuntu 20.04 LTS update for OpenSSL."
PATCH-2319,"CVE-2024-28183","Security Update for macOS Sonoma 14.9.2: Core services patch."
PATCH-2320,"CVE-2024-29059","DSA-5655-1: Debian 12 security update for Thunderbird."
PATCH-2321,"CVE-2024-28184","RHSA-2024:1545: RHEL 8 security update for bind."
PATCH-2322,"CVE-2024-29060","Security Update for Windows Server 2022 (KB5035857): RDP client update."
PATCH-2323,"CVE-2024-26602","USN-6650-1: Ubuntu 22.04 LTS Linux kernel livepatch."
PATCH-2324,"CVE-2024-29061","Security Update for macOS Ventura 13.8.2: Final Cut Pro security update."
PATCH-2325,"CVE-2024-28185","CESA-2024:0860: CentOS Stream 9 update for openssl."
PATCH-2326,"CVE-2024-29062","RHSA-2024:1550: RHEL 9 update for container-tools."
PATCH-2327,"CVE-2024-26608","DSA-5658-1: Debian 12 security update for the Linux kernel."
PATCH-2328,"CVE-2024-29063","Security Update for Windows Server 2019 (KB5035849): Windows Kernel patch."
PATCH-2329,"CVE-2024-28186","USN-6652-1: Ubuntu 20.04 LTS update for curl."
PATCH-2330,"CVE-2024-29064","Security Update for macOS Monterey 12.12: Safari update."
PATCH-2331,"CVE-2024-28187","RHSA-2024:1560: RHEL 8 update for the kernel-rt source tree."
PATCH-2332,"CVE-2024-29065","Security Update for Windows Server 2022 (KB5035857): Cumulative update."
PATCH-2333,"CVE-2024-26611","CESA-2024:0870: CentOS Stream 9 update for freeradius."
PATCH-2334,"CVE-2024-29066","USN-6655-1: Ubuntu 22.04 LTS update for systemd."
PATCH-2335,"CVE-2024-28188","DSA-5660-1: Debian 12 security update for PostgreSQL 15."
PATCH-2336,"CVE-2024-29067","RHSA-2024:1570: RHEL 9 security update for Go-toolset."
PATCH-2337,"CVE-2024-26615","Security Update for Windows Server 2019 (KB5035849): Mitigates Kerberos vulnerability."
PATCH-2338,"CVE-2024-29068","Security Update for macOS Sonoma 14.9.3: Font parser update."
PATCH-2339,"CVE-2024-28189","USN-6658-1: Ubuntu 20.04 LTS update for OpenJDK 11, 17, 21."
PATCH-2340,"CVE-2024-29069","CESA-2024:0880: CentOS Stream 9 security update for qemu-kvm."
PATCH-2341,"CVE-2024-28190","RHSA-2024:1580: RHEL 8 security update for pacemaker."
PATCH-2342,"CVE-2024-29070","DSA-5662-1: Debian 12 security update for nginx."
PATCH-2343,"CVE-2024-26622","Security Update for Windows Server 2022 (KB5035857): Fix for Print Spooler RCE."
PATCH-2344,"CVE-2024-29071","Security Update for macOS Ventura 13.8.3: Addresses multiple CVEs."
PATCH-2345,"CVE-2024-28191","USN-6660-1: Ubuntu 22.04 LTS security update for the Linux kernel."
PATCH-2346,"CVE-2024-29072","RHSA-2024:1590: RHEL 9 security update for python3.11."
PATCH-2347,"CVE-2024-28192","CESA-2024:0890: CentOS Stream 9 update for vim."
PATCH-2348,"CVE-2024-29073","Security Update for Windows Server 2019 (KB5035849): .NET Framework security rollup."
PATCH-2349,"CVE-2024-28193","DSA-5665-1: Debian 12 security update for LibreOffice."
PATCH-2350,"CVE-2024-29074","USN-6663-1: Ubuntu 20.04 LTS kernel livepatch update."
PATCH-2351,"CVE-2024-28194","Security Update for macOS Monterey 12.13: Final update."
PATCH-2352,"CVE-2024-29075","RHSA-2024:1600: RHEL 8 security update for openssl."
PATCH-2353,"CVE-2024-28195","Security Update for Windows Server 2022 (KB5035857): Windows Kernel patch."
PATCH-2354,"CVE-2024-29076","CESA-2024:0900: CentOS Stream 9 update for the kernel."
PATCH-2355,"CVE-2024-28196","USN-6665-1: Ubuntu 22.04 LTS update for AppArmor."
PATCH-2356,"CVE-2024-29077","DSA-5668-1: Debian 12 security update for open-vm-tools."
PATCH-2357,"CVE-2024-28197","RHSA-2024:1610: RHEL 9 security update for NetworkManager."
PATCH-2358,"CVE-2024-29078","Security Update for Windows Server 2019 (KB5035849): RDP client security fix."
PATCH-2359,"CVE-2024-28198","Security Update for macOS Sonoma 14.9.4: Patches a vulnerability in the graphics driver."
PATCH-2360,"CVE-2024-29079","USN-6668-1: Ubuntu 20.04 LTS security update for the Linux kernel (HWE)."
PATCH-2361,"CVE-2024-28199","CESA-2024:0910: CentOS Stream 9 security update for git."
PATCH-2362,"CVE-2024-29080","RHSA-2024:1620: RHEL 8 security update for httpd."
PATCH-2363,"CVE-2024-29081","DSA-5670-1: Debian 12 security update for openssh."
PATCH-2364,"CVE-2024-29082","Security Update for Windows Server 2022 (KB5035857): Cumulative Security Update."
PATCH-2365,"CVE-2024-29083","Security Update for macOS Ventura 13.8.4: Final scheduled update."
PATCH-2366,"CVE-2024-29084","USN-6670-1: Ubuntu 22.04 LTS security update for sudo."
PATCH-2367,"CVE-2024-29085","RHSA-2024:1630: RHEL 9 security update for rpm."
PATCH-2368,"CVE-2024-29086","CESA-2024:0920: CentOS Stream 9 update for cockpit."
PATCH-2369,"CVE-2024-29087","Security Update for Windows Server 2019 (KB5035849): Monthly Rollup."
PATCH-2370,"CVE-2024-29088","DSA-5672-1: Debian 12 security update for ghostscript."
PATCH-2371,"CVE-2024-29089","USN-6672-1: Ubuntu 20.04 LTS security update for OpenJDK."
PATCH-2372,"CVE-2024-29090","Security Update for macOS Monterey 12.14: Legacy system patch."
PATCH-2373,"CVE-2024-29091","RHSA-2024:1640: RHEL 8 security update for MariaDB 10.5."
PATCH-2374,"CVE-2024-29092","Security Update for Windows Server 2022 (KB5035857): Secure Boot improvements."
PATCH-2375,"CVE-2024-29093","CESA-2024:0930: CentOS Stream 9 security update for python3."
PATCH-2376,"CVE-2024-29094","USN-6675-1: Ubuntu 22.04 LTS security update for the Linux kernel."
PATCH-2377,"CVE-2024-29095","DSA-5675-1: Debian 12 security update for the Linux kernel."
PATCH-2378,"CVE-2024-29096","RHSA-2024:1650: RHEL 9 security update for samba."
PATCH-2379,"CVE-2024-29097","Security Update for Windows Server 2019 (KB5035849): Cumulative update."
PATCH-2380,"CVE-2024-29098","Security Update for macOS Sonoma 14.9.5: Addresses multiple vulnerabilities."
PATCH-2381,"CVE-2024-29099","USN-6678-1: Ubuntu 20.04 LTS kernel livepatch update."
PATCH-2382,"CVE-2024-29100","CESA-2024:0940: CentOS Stream 9 update for postgresql."
PATCH-2383,"CVE-2024-29101","RHSA-2024:1660: RHEL 8 security update for squid."
PATCH-2384,"CVE-2024-29102","DSA-5678-1: Debian 12 security update for bind9."
PATCH-2385,"CVE-2024-29103","Security Update for Windows Server 2022 (KB5035857): Fix for DNS server vulnerability."
PATCH-2386,"CVE-2024-29104","Security Update for macOS Ventura 13.8.5: Final planned update."
PATCH-2387,"CVE-2024-29105","USN-6680-1: Ubuntu 22.04 LTS security update for systemd."
PATCH-2388,"CVE-2024-29106","RHSA-2024:1670: RHEL 9 security update for the kernel."
PATCH-2389,"CVE-2024-29107","CESA-2024:0950: CentOS Stream 9 security update for nginx."
PATCH-2390,"CVE-2024-29108","Security Update for Windows Server 2019 (KB5035849): .NET Framework security rollup."
PATCH-2391,"CVE-2024-29109","DSA-5680-1: Debian 12 security update for php8.2."
PATCH-2392,"CVE-2024-29110","USN-6682-1: Ubuntu 20.04 LTS security update for curl."
PATCH-2393,"CVE-2024-29111","Security Update for macOS Monterey 12.15: Final patch."
PATCH-2394,"CVE-2024-29112","RHSA-2024:1680: RHEL 8 security update for cockpit."
PATCH-2395,"CVE-2024-29113","Security Update for Windows Server 2022 (KB5035857): Cumulative Security Update."
PATCH-2396,"CVE-2024-29114","CESA-2024:0960: CentOS Stream 9 update for thunderbird."
PATCH-2397,"CVE-2024-29115","USN-6685-1: Ubuntu 22.04 LTS kernel livepatch update."
PATCH-2398,"CVE-2024-29116","DSA-5682-1: Debian 12 security update for the Linux kernel."
PATCH-2399,"CVE-2024-29117","RHSA-2024:1690: RHEL 9 security update for podman."
PATCH-2400,"CVE-2024-29118","Security Update for Windows Server 2019 (KB5035849): Final monthly rollup for this cycle."