feed_id,CVE_id,threat_group,campaign,report_date
TI001,"CVE-2024-21338","APT28 (Fancy Bear)","Operation Crimson Eagle","2023-11-15"
TI002,"CVE-2024-21413","Lazarus Group","Operation Shadow Serpent","2024-02-28"
TI003,"CVE-2024-21410","Sandworm Team","Operation Night Hydra","2024-01-10"
TI004,"CVE-2024-21339","Cozy Bear (APT29)","Operation Arctic Tide","2023-12-05"
TI005,"CVE-2024-21345","Turla (Venomous Bear)","Operation Steel Viper","2024-04-01"
TI006,"CVE-2024-21411","Dragonfly (Energetic Bear)","Operation Blazing Hammer","2023-10-22"
TI007,"CVE-2024-21340","Equation Group","Operation Hidden Dawn","2024-03-18"
TI008,"CVE-2024-21412","FIN7","Operation Cyber Raptor","2024-05-09"
TI009,"CVE-2024-21341","DarkSide","Operation Iron Cobra","2023-09-14"
TI010,"CVE-2024-21346","REvil (Sodinokibi)","Operation Silent Storm","2024-06-03"
TI011,"CVE-2024-21414","Conti","Operation Crimson Serpent","2024-01-30"
TI012,"CVE-2024-21347","LockBit","Operation Shadow Eagle","2023-11-25"
TI013,"CVE-2024-21415","Wizard Spider","Operation Night Tide","2024-05-15"
TI014,"CVE-2024-21348","Magecart","Operation Arctic Viper","2024-02-11"
TI015,"CVE-2024-21416","Mustang Panda","Operation Steel Hammer","2023-12-28"
TI016,"CVE-2024-21349","Charming Kitten (APT35)","Operation Blazing Dawn","2024-04-20"
TI017,"CVE-2024-21417","TA505","Operation Hidden Raptor","2024-01-05"
TI018,"CVE-2024-21350","Cobalt Group","Operation Cyber Cobra","2024-06-19"
TI019,"CVE-2024-21418","APT28 (Fancy Bear)","Operation Iron Hydra","2023-10-01"
TI020,"CVE-2024-21351","Lazarus Group","Operation Silent Serpent","2024-05-29"
TI021,"CVE-2024-21419","Sandworm Team","Operation Crimson Tide","2024-02-18"
TI022,"CVE-2024-21352","Cozy Bear (APT29)","Operation Shadow Viper","2024-01-19"
TI023,"CVE-2024-21420","Turla (Venomous Bear)","Operation Night Hammer","2023-12-11"
TI024,"CVE-2024-21353","Dragonfly (Energetic Bear)","Operation Arctic Dawn","2024-04-28"
TI025,"CVE-2024-21421","Equation Group","Operation Steel Raptor","2024-02-04"
TI026,"CVE-2024-21354","FIN7","Operation Blazing Cobra","2024-06-25"
TI027,"CVE-2024-21422","DarkSide","Operation Hidden Hydra","2023-11-09"
TI028,"CVE-2024-21355","REvil (Sodinokibi)","Operation Cyber Storm","2024-05-19"
TI029,"CVE-2024-21423","Conti","Operation Iron Serpent","2024-03-08"
TI030,"CVE-2024-21356","LockBit","Operation Silent Eagle","2024-01-28"
TI031,"CVE-2024-21424","Wizard Spider","Operation Crimson Viper","2024-06-14"
TI032,"CVE-2024-21357","Magecart","Operation Shadow Hammer","2024-03-24"
TI033,"CVE-2024-21425","Mustang Panda","Operation Night Dawn","2024-01-01"
TI034,"CVE-2024-21358","Charming Kitten (APT35)","Operation Arctic Raptor","2024-04-15"
TI035,"CVE-2024-21426","TA505","Operation Steel Cobra","2024-02-23"
TI036,"CVE-2024-21359","Cobalt Group","Operation Blazing Hydra","2023-11-19"
TI037,"CVE-2024-21427","APT28 (Fancy Bear)","Operation Hidden Storm","2024-05-01"
TI038,"CVE-2024-21360","Lazarus Group","Operation Cyber Serpent","2024-03-14"
TI039,"CVE-2024-21428","Sandworm Team","Operation Iron Eagle","2024-02-09"
TI040,"CVE-2024-21361","Cozy Bear (APT29)","Operation Silent Viper","2023-12-21"
TI041,"CVE-2024-21429","Turla (Venomous Bear)","Operation Crimson Hammer","2024-04-09"
TI042,"CVE-2024-21362","Dragonfly (Energetic Bear)","Operation Shadow Dawn","2024-02-15"
TI043,"CVE-2024-21430","Equation Group","Operation Night Raptor","2024-01-12"
TI044,"CVE-2024-21363","FIN7","Operation Arctic Cobra","2024-06-09"
TI045,"CVE-2024-21431","DarkSide","Operation Steel Hydra","2024-03-30"
TI046,"CVE-2024-21364","REvil (Sodinokibi)","Operation Blazing Storm","2023-12-01"
TI047,"CVE-2024-21432","Conti","Operation Hidden Serpent","2024-05-11"
TI048,"CVE-2024-21365","LockBit","Operation Cyber Eagle","2024-04-03"
TI049,"CVE-2024-21433","Wizard Spider","Operation Iron Viper","2024-02-29"
TI050,"CVE-2024-21366","Magecart","Operation Silent Hammer","2023-12-15"
TI051,"CVE-2024-21434","Mustang Panda","Operation Crimson Dawn","2024-05-25"
TI052,"CVE-2024-21367","Charming Kitten (APT35)","Operation Shadow Raptor","2024-03-04"
TI053,"CVE-2024-21435","TA505","Operation Night Cobra","2024-01-24"
TI054,"CVE-2024-21368","Cobalt Group","Operation Arctic Hydra","2024-06-21"
TI055,"CVE-2024-21436","APT28 (Fancy Bear)","Operation Steel Storm","2024-04-19"
TI056,"CVE-2024-21369","Lazarus Group","Operation Blazing Serpent","2023-12-31"
TI057,"CVE-2024-21437","Sandworm Team","Operation Hidden Eagle","2024-05-31"
TI058,"CVE-2024-21370","Cozy Bear (APT29)","Operation Cyber Viper","2024-04-11"
TI059,"CVE-2024-21438","Turla (Venomous Bear)","Operation Iron Hammer","2024-03-01"
TI060,"CVE-2024-21371","Dragonfly (Energetic Bear)","Operation Silent Dawn","2024-01-08"
TI061,"CVE-2024-21439","Equation Group","Operation Crimson Raptor","2024-06-01"
TI062,"CVE-2024-21372","FIN7","Operation Shadow Cobra","2024-04-24"
TI063,"CVE-2024-21440","DarkSide","Operation Night Hydra","2024-02-20"
TI064,"CVE-2024-21373","REvil (Sodinokibi)","Operation Arctic Storm","2023-12-25"
TI065,"CVE-2024-21441","Conti","Operation Steel Serpent","2024-05-21"
TI066,"CVE-2024-21374","LockBit","Operation Blazing Eagle","2024-04-05"
TI067,"CVE-2024-21442","Wizard Spider","Operation Hidden Viper","2024-02-13"
TI068,"CVE-2024-21375","Magecart","Operation Cyber Hammer","2024-01-16"
TI069,"CVE-2024-21443","Mustang Panda","Operation Iron Dawn","2024-06-16"
TI070,"CVE-2024-21376","Charming Kitten (APT35)","Operation Silent Raptor","2024-04-29"
TI071,"CVE-2024-21444","TA505","Operation Crimson Cobra","2024-03-10"
TI072,"CVE-2024-21377","Cobalt Group","Operation Shadow Hydra","2024-01-20"
TI073,"CVE-2024-21445","APT28 (Fancy Bear)","Operation Night Storm","2023-12-07"
TI074,"CVE-2024-21378","Lazarus Group","Operation Arctic Serpent","2024-05-05"
TI075,"CVE-2024-21446","Sandworm Team","Operation Steel Eagle","2024-03-20"
TI076,"CVE-2024-21379","Cozy Bear (APT29)","Operation Blazing Viper","2024-02-01"
TI077,"CVE-2024-21447","Turla (Venomous Bear)","Operation Hidden Hammer","2024-01-03"
TI078,"CVE-2024-21380","Dragonfly (Energetic Bear)","Operation Cyber Dawn","2024-06-29"
TI079,"CVE-2024-21448","Equation Group","Operation Iron Raptor","2024-05-08"
TI080,"CVE-2024-21381","FIN7","Operation Silent Cobra","2024-03-16"
TI081,"CVE-2024-21449","DarkSide","Operation Crimson Hydra","2024-02-25"
TI082,"CVE-2024-21382","REvil (Sodinokibi)","Operation Shadow Storm","2023-12-29"
TI083,"CVE-2024-21450","Conti","Operation Night Serpent","2024-05-24"
TI084,"CVE-2024-21383","LockBit","Operation Arctic Eagle","2024-04-08"
TI085,"CVE-2024-21451","Wizard Spider","Operation Steel Viper","2024-02-17"
TI086,"CVE-2024-21384","Magecart","Operation Blazing Hammer","2024-01-27"
TI087,"CVE-2024-21452","Mustang Panda","Operation Hidden Dawn","2024-06-11"
TI088,"CVE-2024-21385","Charming Kitten (APT35)","Operation Cyber Raptor","2024-05-14"
TI089,"CVE-2024-21453","TA505","Operation Iron Cobra","2024-03-28"
TI090,"CVE-2024-21386","Cobalt Group","Operation Silent Hydra","2024-02-05"
TI091,"CVE-2024-21454","APT28 (Fancy Bear)","Operation Crimson Storm","2024-01-14"
TI092,"CVE-2024-21387","Lazarus Group","Operation Shadow Serpent","2024-06-05"
TI093,"CVE-2024-21455","Sandworm Team","Operation Night Eagle","2024-04-22"
TI094,"CVE-2024-21388","Cozy Bear (APT29)","Operation Arctic Viper","2024-03-06"
TI095,"CVE-2024-21456","Turla (Venomous Bear)","Operation Steel Hammer","2024-02-27"
TI096,"CVE-2024-21389","Dragonfly (Energetic Bear)","Operation Blazing Dawn","2024-01-09"
TI097,"CVE-2024-21457","Equation Group","Operation Hidden Raptor","2024-06-23"
TI098,"CVE-2024-21390","FIN7","Operation Cyber Cobra","2024-05-03"
TI099,"CVE-2024-21458","DarkSide","Operation Iron Hydra","2024-04-13"
TI100,"CVE-2024-21391","REvil (Sodinokibi)","Operation Silent Storm","2024-02-12"
TI101,"CVE-2024-21459","Conti","Operation Crimson Serpent","2024-01-23"
TI102,"CVE-2024-21392","LockBit","Operation Shadow Eagle","2024-06-18"
TI103,"CVE-2024-21460","Wizard Spider","Operation Night Viper","2024-05-18"
TI104,"CVE-2024-21393","Magecart","Operation Arctic Hammer","2024-03-12"
TI105,"CVE-2024-21461","Mustang Panda","Operation Steel Dawn","2024-02-22"
TI106,"CVE-2024-21394","Charming Kitten (APT35)","Operation Blazing Raptor","2024-01-04"
TI107,"CVE-2024-21462","TA505","Operation Hidden Cobra","2024-06-27"
TI108,"CVE-2024-21395","Cobalt Group","Operation Cyber Hydra","2024-05-27"
TI109,"CVE-2024-21463","APT28 (Fancy Bear)","Operation Iron Storm","2024-04-02"
TI110,"CVE-2024-21396","Lazarus Group","Operation Silent Serpent","2024-03-18"
TI111,"CVE-2024-21464","Sandworm Team","Operation Crimson Eagle","2024-02-07"
TI112,"CVE-2024-21397","Cozy Bear (APT29)","Operation Shadow Viper","2024-01-18"
TI113,"CVE-2024-21465","Turla (Venomous Bear)","Operation Night Hammer","2024-06-13"
TI114,"CVE-2024-21398","Dragonfly (Energetic Bear)","Operation Arctic Dawn","2024-05-13"
TI115,"CVE-2024-21466","Equation Group","Operation Steel Raptor","2024-03-22"
TI116,"CVE-2024-21399","FIN7","Operation Blazing Cobra","2024-02-19"
TI117,"CVE-2024-21467","DarkSide","Operation Hidden Hydra","2024-01-29"
TI118,"CVE-2024-21400","REvil (Sodinokibi)","Operation Cyber Storm","2024-06-26"
TI119,"CVE-2024-21468","Conti","Operation Iron Serpent","2024-05-07"
TI120,"CVE-2024-21401","LockBit","Operation Silent Eagle","2024-04-17"
TI121,"CVE-2024-21469","Wizard Spider","Operation Crimson Viper","2024-03-02"
TI122,"CVE-2024-21402","Magecart","Operation Shadow Hammer","2024-02-28"
TI123,"CVE-2024-21470","Mustang Panda","Operation Night Dawn","2024-01-02"
TI124,"CVE-2024-21403","Charming Kitten (APT35)","Operation Arctic Raptor","2024-06-02"
TI125,"CVE-2024-21471","TA505","Operation Steel Cobra","2024-05-23"
TI126,"CVE-2024-21404","Cobalt Group","Operation Blazing Hydra","2024-04-12"
TI127,"CVE-2024-21472","APT28 (Fancy Bear)","Operation Hidden Storm","2024-03-13"
TI128,"CVE-2024-21405","Lazarus Group","Operation Cyber Serpent","2024-02-03"
TI129,"CVE-2024-21473","Sandworm Team","Operation Iron Eagle","2024-01-21"
TI130,"CVE-2024-21406","Cozy Bear (APT29)","Operation Silent Viper","2024-06-22"
TI131,"CVE-2024-21474","Turla (Venomous Bear)","Operation Crimson Hammer","2024-05-02"
TI132,"CVE-2024-21407","Dragonfly (Energetic Bear)","Operation Shadow Dawn","2024-04-21"
TI133,"CVE-2024-21475","Equation Group","Operation Night Raptor","2024-03-27"
TI134,"CVE-2024-21408","FIN7","Operation Arctic Cobra","2024-02-06"
TI135,"CVE-2024-21476","DarkSide","Operation Steel Hydra","2024-01-07"
TI136,"CVE-2024-21409","REvil (Sodinokibi)","Operation Blazing Storm","2024-06-17"
TI137,"CVE-2024-21477","Conti","Operation Hidden Serpent","2024-05-22"
TI138,"CVE-2024-21410","LockBit","Operation Cyber Eagle","2024-04-16"
TI139,"CVE-2024-21478","Wizard Spider","Operation Iron Viper","2024-03-09"
TI140,"CVE-2024-21412","Magecart","Operation Silent Hammer","2024-02-16"
TI141,"CVE-2024-21479","Mustang Panda","Operation Crimson Dawn","2024-01-17"
TI142,"CVE-2024-21413","Charming Kitten (APT35)","Operation Shadow Raptor","2024-06-08"
TI143,"CVE-2024-21480","TA505","Operation Night Cobra","2024-05-06"
TI144,"CVE-2024-21414","Cobalt Group","Operation Arctic Hydra","2024-04-26"
TI145,"CVE-2024-21481","APT28 (Fancy Bear)","Operation Steel Storm","2024-03-17"
TI146,"CVE-2024-21415","Lazarus Group","Operation Blazing Serpent","2024-02-24"
TI147,"CVE-2024-21482","Sandworm Team","Operation Hidden Eagle","2024-01-26"
TI148,"CVE-2024-21416","Cozy Bear (APT29)","Operation Cyber Viper","2024-06-10"
TI149,"CVE-2024-21483","Turla (Venomous Bear)","Operation Iron Hammer","2024-05-28"
TI150,"CVE-2024-21417","Dragonfly (Energetic Bear)","Operation Silent Dawn","2024-04-07"
TI151,"CVE-2024-21484","Equation Group","Operation Crimson Raptor","2024-03-05"
TI152,"CVE-2024-21418","FIN7","Operation Shadow Cobra","2024-02-02"
TI153,"CVE-2024-21485","DarkSide","Operation Night Hydra","2024-01-11"
TI154,"CVE-2024-21419","REvil (Sodinokibi)","Operation Arctic Storm","2024-06-30"
TI155,"CVE-2024-21486","Conti","Operation Steel Serpent","2024-05-12"
TI156,"CVE-2024-21420","LockBit","Operation Blazing Eagle","2024-04-25"
TI157,"CVE-2024-21487","Wizard Spider","Operation Hidden Viper","2024-03-23"
TI158,"CVE-2024-21421","Magecart","Operation Cyber Hammer","2024-02-08"
TI159,"CVE-2024-21488","Mustang Panda","Operation Iron Dawn","2024-01-22"
TI160,"CVE-2024-21422","Charming Kitten (APT35)","Operation Silent Raptor","2024-06-24"
TI161,"CVE-2024-21489","TA505","Operation Crimson Cobra","2024-05-20"
TI162,"CVE-2024-21423","Cobalt Group","Operation Shadow Hydra","2024-04-18"
TI163,"CVE-2024-21490","APT28 (Fancy Bear)","Operation Night Storm","2024-03-26"
TI164,"CVE-2024-21424","Lazarus Group","Operation Arctic Serpent","2024-02-10"
TI165,"CVE-2024-21491","Sandworm Team","Operation Steel Eagle","2024-01-06"
TI166,"CVE-2024-21425","Cozy Bear (APT29)","Operation Blazing Viper","2024-06-04"
TI167,"CVE-2024-21492","Turla (Venomous Bear)","Operation Hidden Hammer","2024-05-26"
TI168,"CVE-2024-21426","Dragonfly (Energetic Bear)","Operation Cyber Dawn","2024-04-14"
TI169,"CVE-2024-21493","Equation Group","Operation Iron Raptor","2024-03-19"
TI170,"CVE-2024-21427","FIN7","Operation Silent Cobra","2024-02-21"
TI171,"CVE-2024-21494","DarkSide","Operation Crimson Hydra","2024-01-25"
TI172,"CVE-2024-21428","REvil (Sodinokibi)","Operation Shadow Storm","2024-06-28"
TI173,"CVE-2024-21495","Conti","Operation Night Serpent","2024-05-17"
TI174,"CVE-2024-21429","LockBit","Operation Arctic Eagle","2024-04-06"
TI175,"CVE-2024-21496","Wizard Spider","Operation Steel Viper","2024-03-07"
TI176,"CVE-2024-21430","Magecart","Operation Blazing Hammer","2024-02-14"
TI177,"CVE-2024-21497","Mustang Panda","Operation Hidden Dawn","2024-01-15"
TI178,"CVE-2024-21431","Charming Kitten (APT35)","Operation Cyber Raptor","2024-06-07"
TI179,"CVE-2024-21498","TA505","Operation Iron Cobra","2024-05-16"
TI180,"CVE-2024-21432","Cobalt Group","Operation Silent Hydra","2024-04-27"
TI181,"CVE-2024-21499","APT28 (Fancy Bear)","Operation Crimson Storm","2024-03-11"
TI182,"CVE-2024-21433","Lazarus Group","Operation Shadow Serpent","2024-02-26"
TI183,"CVE-2024-21500","Sandworm Team","Operation Night Eagle","2024-01-13"
TI184,"CVE-2024-21434","Cozy Bear (APT29)","Operation Arctic Viper","2024-06-12"
TI185,"CVE-2024-21501","Turla (Venomous Bear)","Operation Steel Hammer","2024-05-10"
TI186,"CVE-2024-21435","Dragonfly (Energetic Bear)","Operation Blazing Dawn","2024-04-23"
TI187,"CVE-2024-21502","Equation Group","Operation Hidden Raptor","2024-03-25"
TI188,"CVE-2024-21436","FIN7","Operation Cyber Cobra","2024-02-09"
TI189,"CVE-2024-21503","DarkSide","Operation Iron Hydra","2024-01-31"
TI190,"CVE-2024-21437","REvil (Sodinokibi)","Operation Silent Storm","2024-06-20"
TI191,"CVE-2024-21504","Conti","Operation Crimson Serpent","2024-05-04"
TI192,"CVE-2024-21438","LockBit","Operation Shadow Eagle","2024-04-10"
TI193,"CVE-2024-21505","Wizard Spider","Operation Night Viper","2024-03-29"
TI194,"CVE-2024-21439","Magecart","Operation Arctic Hammer","2024-02-18"
TI195,"CVE-2024-21506","Mustang Panda","Operation Steel Dawn","2024-01-10"
TI196,"CVE-2024-21440","Charming Kitten (APT35)","Operation Blazing Raptor","2024-06-15"
TI197,"CVE-2024-21507","TA505","Operation Hidden Cobra","2024-05-30"
TI198,"CVE-2024-21441","Cobalt Group","Operation Cyber Hydra","2024-04-04"
TI199,"CVE-2024-21508","APT28 (Fancy Bear)","Operation Iron Storm","2024-03-15"
TI200,"CVE-2024-21442","Lazarus Group","Operation Silent Serpent","2024-02-11"